go_term,background_gene_count,train_variance,passed_variance_filter,mutual_information,mi_rank,selected
GO:0005762,33,3.187661786796525e-05,False,,,False
GO:0005764,36,4.7758061555214226e-05,True,0.004827141193304962,209,False
GO:0005768,298,0.001435540267266333,True,0.0029620403532093498,285,False
GO:0005769,27,4.252390135661699e-05,True,0.0015902898474045024,317,False
GO:0005770,41,9.985384531319141e-05,True,0.005864098742497825,179,False
GO:0005771,24,0.0004303064779378474,True,0.013335834978916328,45,True
GO:0005773,297,0.0015800162218511105,True,0.00047905371596246304,370,False
GO:0005774,78,0.00021731479500886053,True,0.0,394,False
GO:0005776,33,0.0002265706134494394,True,0.004358892340554865,230,False
GO:0005777,312,0.008480959571897984,True,0.014801379608174292,31,True
GO:0005778,31,0.00015580086619593203,True,0.0070942648441529865,140,False
GO:0005783,920,0.007401501294225454,True,0.014826785402036524,29,True
GO:0005789,224,0.0013408024096861482,True,0.006078404305714269,172,False
GO:0005794,1050,0.0064996215514838696,True,0.0033073178299323214,265,False
GO:0005797,60,0.00014921629917807877,True,8.186713448954386e-05,386,False
GO:0005802,295,0.0013386663049459457,True,0.01718937044179847,20,True
GO:0005811,46,0.00263887457549572,True,0.0,400,False
GO:0005819,45,0.00025957077741622925,True,0.0,422,False
GO:0005829,2505,0.04046378284692764,True,0.014172089053586356,37,True
GO:0005839,21,8.258405432570726e-05,True,0.009187525015600828,103,False
GO:0005840,34,7.424862997140735e-05,True,0.0,417,False
GO:0005856,41,0.001913244603201747,True,0.0,416,False
GO:0005871,26,7.392174302367494e-05,True,0.0,413,False
GO:0005874,107,0.0006008849595673382,True,0.0,412,False
GO:0005876,23,2.2712567442795262e-05,False,,,False
GO:0005886,3072,0.0160840954631567,True,0.0009418498310451717,347,False
GO:0005938,21,5.429161319625564e-05,True,0.00012138324890087482,385,False
GO:0005975,262,0.0026447917334735394,True,0.010992928945642522,74,False
GO:0005992,22,3.9997972635319456e-05,True,0.002195481255366616,304,False
GO:0006094,23,0.001771416631527245,True,0.0,409,False
GO:0006096,47,0.005581995937973261,True,0.0,406,False
GO:0006099,34,0.002766419667750597,True,0.0,405,False
GO:0006260,30,5.082017742097378e-05,True,0.0,403,False
GO:0006270,20,1.1327159882057458e-05,False,,,False
GO:0006281,140,0.000681017292663455,True,0.012701402433004105,52,True
GO:0006284,25,2.8083502911613323e-05,False,,,False
GO:0006289,34,0.0002356745972065255,True,0.00998518035116569,90,False
GO:0006302,25,0.000587407557759434,True,0.0,411,False
GO:0006310,26,0.00010935459431493655,True,0.0,414,False
GO:0006325,21,2.6345194783061743e-05,False,,,False
GO:0006334,29,2.669409332156647e-05,False,,,False
GO:0006338,80,0.00017293120617978275,True,0.009527731331125278,94,False
GO:0006351,71,7.918929622974247e-05,True,0.0050699670375462524,202,False
GO:0006352,26,4.510780127020553e-05,True,0.0,425,False
GO:0006355,1468,0.002715300302952528,True,0.031151966518631724,5,True
GO:0006357,361,0.00043398808338679373,True,0.008333483425727373,117,False
GO:0006364,90,8.945896115619689e-05,True,0.0047235642390182075,216,False
GO:0006366,30,0.0001352676481474191,True,0.00019360986192951124,382,False
GO:0006367,25,0.0002351265720790252,True,0.008522427629128249,113,False
GO:0006396,63,8.210023952415213e-05,True,0.0,398,False
GO:0006397,77,9.234870231011882e-05,True,0.0008618702034881576,352,False
GO:0006400,31,0.0006672936142422259,True,0.0,427,False
GO:0006402,23,6.12209623795934e-05,True,0.0,397,False
